"人生つみこ","2018-07-05T15:24:03Z","【BIO_0】BIOHAZARD０ リマスター版!!!初見プレイ( ⁰▱⁰ )part2【脱鼻声女子】",=HYPERLINK("https://www.youtube.com/watch?v=xeEn1XEo6j0")
"人生つみこ","2018-07-08T15:05:58Z","【BIO_0】BIOHAZARD０ リマスター版!!!初見プレイ( ⁰▱⁰ )part3【脱鼻声女子】",=HYPERLINK("https://www.youtube.com/watch?v=h00782pkWmE")
"人生つみこ","2018-07-09T15:04:01Z","【BIO_0】BIOHAZARD０ リマスター版!!!初見プレイ( ⁰▱⁰ )part4【脱鼻声女子】",=HYPERLINK("https://www.youtube.com/watch?v=-d5QXTvLr6k")
"人生つみこ","2018-07-12T14:52:06Z","【BIO_0】BIOHAZARD０ リマスター版!!!初見プレイ( ⁰▱⁰ )part5【鼻声女子】",=HYPERLINK("https://www.youtube.com/watch?v=GF07lKsHbv4")
"ばあちゃる","2017-08-09T10:53:29Z","世界初!?男性バーチャルYoutuber『ばあちゃる』誕生【馬】【001】",=HYPERLINK("https://www.youtube.com/watch?v=IXIrtULN31U")
"ばあちゃる","2017-08-11T13:54:29Z","【世界初!?男性バーチャルyoutuberばあちゃる】動物占いで驚きの結果。。。【002】",=HYPERLINK("https://www.youtube.com/watch?v=H7IeEDrYnRE")
"ばあちゃる","2017-08-12T09:17:20Z","【世界初!?男性バーチャルyoutuberばあちゃる】ぐだぐだ人生相談してみました【003】",=HYPERLINK("https://www.youtube.com/watch?v=Up1tyETrPa4")
"ばあちゃる","2017-08-17T04:08:29Z","【バーチャルyoutuberばあちゃる】盤面見ないで勝てるか検証【ハースストーン】【004】",=HYPERLINK("https://www.youtube.com/watch?v=i1QX2-xzazs")
"ばあちゃる","2017-08-21T10:37:22Z","【世界初!?男性バーチャルyoutuberばあちゃる】爆笑保証企画『第一弾』【005】",=HYPERLINK("https://www.youtube.com/watch?v=LgdQMnNGuXA")
"ヨメミ","2017-08-21T10:02:25Z","パンツが見えないかチェックしてみた♥",=HYPERLINK("https://www.youtube.com/watch?v=f4MLvccbL9w")
"ヨメミ","2017-09-22T05:33:00Z","ハダカ♥のボスに萌実まさかのピンチ！！？【ゲスト：エイレーン】",=HYPERLINK("https://www.youtube.com/watch?v=C8xMaXwRsXI")
"ヨメミ","2017-09-23T08:42:37Z","ホモが大脱走した結果…！！！【＋エイレーンの罠 DQ11#2】",=HYPERLINK("https://www.youtube.com/watch?v=-txhzsGDp9U")
"ヨメミ","2017-10-01T03:49:06Z","あっ❤️も、もぅだめーイジめないで【世界一不公平なマリオ】 - Unfair Mario",=HYPERLINK("https://www.youtube.com/watch?v=lLAWfpCCQF4")
"ヨメミ","2017-10-08T03:11:14Z","私をイジめてもいいよ♥ - Bloodborne #1",=HYPERLINK("https://www.youtube.com/watch?v=POBuJgBDDKE")
"ときのそら","2017-09-07T12:07:16Z","【17/09/07放送】ときのそらVR生放送アーカイブ【#001】",=HYPERLINK("https://www.youtube.com/watch?v=ZXF1SzAtFj8")
"ときのそら","2017-12-27T12:27:06Z","【検証】ときのそらはママなのか？お姉ちゃんなのか？",=HYPERLINK("https://www.youtube.com/watch?v=cee8QH0H_1I")
"ときのそら","2017-12-30T13:39:45Z","【検証？】ときのそらの、珍プレー謎プレー",=HYPERLINK("https://www.youtube.com/watch?v=CPlx3uCF3yU")
"ときのそら","2017-12-31T11:44:46Z","【2017年まとめ・検証】ときのそらは、何がしたいのか？",=HYPERLINK("https://www.youtube.com/watch?v=U4bCpdQDELw")
"ときのそら","2018-01-19T07:53:09Z","【歌ってみた】木の芽時の空 - 路地裏ロジック【soraSong】",=HYPERLINK("https://www.youtube.com/watch?v=BvlCYJ1XZ3Y")
"藤崎由愛","2017-09-19T17:38:05Z","【次世代YouTuber YUA】10月4日からYouTubeで動画配信はじめます！【藤崎由愛】",=HYPERLINK("https://www.youtube.com/watch?v=cN7_u-4WXYc")
"藤崎由愛","2017-10-04T08:36:21Z","【自己紹介】ド緊張の初動画投稿！占いでYUAのこと丸裸にしちゃいまーす！【YUA】",=HYPERLINK("https://www.youtube.com/watch?v=6e6iREg8iBw")
"藤崎由愛","2017-10-06T12:16:22Z","【罰ゲーム】これを見ればYUAの全てが分かる！？体を張りましたw 罰ゲーム20連発！【YUA.Games】",=HYPERLINK("https://www.youtube.com/watch?v=l91I0fMQi5c")
"藤崎由愛","2017-10-12T05:46:10Z","【モンスト】４周年爆絶感謝ガチャ！はじめてのガチャで神引きしちゃったぁ！【YUA.Games】",=HYPERLINK("https://www.youtube.com/watch?v=D25M0iTQFSY")
"藤崎由愛","2017-10-13T07:48:55Z","【８分音符ちゃん】歌いながらの神業に挑戦！もう声が出ないよぉ【YUA.Games】",=HYPERLINK("https://www.youtube.com/watch?v=ebAmW-YmgJU")
"富士葵","2017-12-08T02:26:46Z","【Aoiの自己紹介】YouTuberはじめました！はじめまして！",=HYPERLINK("https://www.youtube.com/watch?v=D5Xx-tNGc9Y")
"富士葵","2017-12-08T08:43:59Z","女の子の悩み解消に挑戦！",=HYPERLINK("https://www.youtube.com/watch?v=TBbmZttZ6og")
"富士葵","2017-12-08T14:04:27Z","【利きシリーズ】第一回は利き”緑茶”　Japanese Green Tea Tasting╭( ･ㅂ･)و",=HYPERLINK("https://www.youtube.com/watch?v=o0_6SnmW1gQ")
"富士葵","2017-12-11T05:49:40Z","シンガポールでマーライオンに会ってきた！ Merlion in Singapore【世界不思議ハンター】",=HYPERLINK("https://www.youtube.com/watch?v=uZEVddot2eM")
"富士葵","2017-12-13T13:42:16Z","妖怪惑星クラリスのガチャ50連でバーチャルJKぶっ壊れる",=HYPERLINK("https://www.youtube.com/watch?v=KheWGHblNBs")
"輝夜月","2017-12-10T06:20:29Z","【自己紹介】輝夜 月の特技がスゴイ！！！！",=HYPERLINK("https://www.youtube.com/watch?v=TeKTVFgw1hM")
